Build Select,,Starting Class,,Head,Body,Arms,Legs,,Talismans,,,,,,,Great Rune,,Crystal Tear 1,Crystal Tear 2,,Weapon Class,,,,,,,,,Upgrade Levels,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,,weapons,canCast,Catalyst Select,,Spell 1,Spell 2,Spell 3,Spell 4,Spell 5,Spell 6,Spell 7,Spell 8,Spell 9,Spell 10,Spell 11,Spell 12,,Defaults,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flame of the Fell God,Flame of the Fell God,Flame of the Fell God,Flame of the Fell God,Flame of the Fell God,Flame of the Fell God,Flame of the Fell God,Flame of the Fell God,Flame of the Fell God,Flame of the Fell God,Flame of the Fell God,Flame of the Fell God,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flame of the Fell God,Flame of the Fell God,Flame of the Fell God,Flame of the Fell God,Flame of the Fell God,Flame of the Fell God,Flame of the Fell God,Flame of the Fell God,Flame of the Fell God,Flame of the Fell God,Flame of the Fell God,Flame of the Fell God,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Surge, O Flame!","Surge, O Flame!","Surge, O Flame!","Surge, O Flame!","Surge, O Flame!","Surge, O Flame!","Surge, O Flame!","Surge, O Flame!","Surge, O Flame!","Surge, O Flame!","Surge, O Flame!","Surge, O Flame!",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Whirl, O Flame!","Whirl, O Flame!","Whirl, O Flame!","Whirl, O Flame!","Whirl, O Flame!","Whirl, O Flame!","Whirl, O Flame!","Whirl, O Flame!","Whirl, O Flame!","Whirl, O Flame!","Whirl, O Flame!","Whirl, O Flame!",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Whirl, O Flame!","Whirl, O Flame!","Whirl, O Flame!","Whirl, O Flame!","Whirl, O Flame!","Whirl, O Flame!","Whirl, O Flame!","Whirl, O Flame!","Whirl, O Flame!","Whirl, O Flame!","Whirl, O Flame!","Whirl, O Flame!",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Burn, O Flame!","Burn, O Flame!","Burn, O Flame!","Burn, O Flame!","Burn, O Flame!","Burn, O Flame!","Burn, O Flame!","Burn, O Flame!","Burn, O Flame!","Burn, O Flame!","Burn, O Flame!","Burn, O Flame!",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Flame, Cleanse Me","Flame, Cleanse Me","Flame, Cleanse Me","Flame, Cleanse Me","Flame, Cleanse Me","Flame, Cleanse Me","Flame, Cleanse Me","Flame, Cleanse Me","Flame, Cleanse Me","Flame, Cleanse Me","Flame, Cleanse Me","Flame, Cleanse Me",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Flame, Cleanse Me","Flame, Cleanse Me","Flame, Cleanse Me","Flame, Cleanse Me","Flame, Cleanse Me","Flame, Cleanse Me","Flame, Cleanse Me","Flame, Cleanse Me","Flame, Cleanse Me","Flame, Cleanse Me","Flame, Cleanse Me","Flame, Cleanse Me",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Flame, Cleanse Me","Flame, Cleanse Me","Flame, Cleanse Me","Flame, Cleanse Me","Flame, Cleanse Me","Flame, Cleanse Me","Flame, Cleanse Me","Flame, Cleanse Me","Flame, Cleanse Me","Flame, Cleanse Me","Flame, Cleanse Me","Flame, Cleanse Me",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Flame, Protect Me","Flame, Protect Me","Flame, Protect Me","Flame, Protect Me","Flame, Protect Me","Flame, Protect Me","Flame, Protect Me","Flame, Protect Me","Flame, Protect Me","Flame, Protect Me","Flame, Protect Me","Flame, Protect Me",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Flame, Grant Me Strength","Flame, Grant Me Strength","Flame, Grant Me Strength","Flame, Grant Me Strength","Flame, Grant Me Strength","Flame, Grant Me Strength","Flame, Grant Me Strength","Flame, Grant Me Strength","Flame, Grant Me Strength","Flame, Grant Me Strength","Flame, Grant Me Strength","Flame, Grant Me Strength",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,Fire's Deadly Sin,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire Serpent,Fire Serpent,Fire Serpent,Fire Serpent,Fire Serpent,Fire Serpent,Fire Serpent,Fire Serpent,Fire Serpent,Fire Serpent,Fire Serpent,Fire Serpent,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire Serpent,Fire Serpent,Fire Serpent,Fire Serpent,Fire Serpent,Fire Serpent,Fire Serpent,Fire Serpent,Fire Serpent,Fire Serpent,Fire Serpent,Fire Serpent,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rain of Fire,Rain of Fire,Rain of Fire,Rain of Fire,Rain of Fire,Rain of Fire,Rain of Fire,Rain of Fire,Rain of Fire,Rain of Fire,Rain of Fire,Rain of Fire,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rain of Fire,Rain of Fire,Rain of Fire,Rain of Fire,Rain of Fire,Rain of Fire,Rain of Fire,Rain of Fire,Rain of Fire,Rain of Fire,Rain of Fire,Rain of Fire,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rain of Fire,Rain of Fire,Rain of Fire,Rain of Fire,Rain of Fire,Rain of Fire,Rain of Fire,Rain of Fire,Rain of Fire,Rain of Fire,Rain of Fire,Rain of Fire,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rain of Fire,Rain of Fire,Rain of Fire,Rain of Fire,Rain of Fire,Rain of Fire,Rain of Fire,Rain of Fire,Rain of Fire,Rain of Fire,Rain of Fire,Rain of Fire,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,Messmer's Orb,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Flame,Black Flame,Black Flame,Black Flame,Black Flame,Black Flame,Black Flame,Black Flame,Black Flame,Black Flame,Black Flame,Black Flame,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Flame,Black Flame,Black Flame,Black Flame,Black Flame,Black Flame,Black Flame,Black Flame,Black Flame,Black Flame,Black Flame,Black Flame,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scouring Black Flame,Scouring Black Flame,Scouring Black Flame,Scouring Black Flame,Scouring Black Flame,Scouring Black Flame,Scouring Black Flame,Scouring Black Flame,Scouring Black Flame,Scouring Black Flame,Scouring Black Flame,Scouring Black Flame,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scouring Black Flame,Scouring Black Flame,Scouring Black Flame,Scouring Black Flame,Scouring Black Flame,Scouring Black Flame,Scouring Black Flame,Scouring Black Flame,Scouring Black Flame,Scouring Black Flame,Scouring Black Flame,Scouring Black Flame,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,Black Flame Ritual,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Flame Blade,Black Flame Blade,Black Flame Blade,Black Flame Blade,Black Flame Blade,Black Flame Blade,Black Flame Blade,Black Flame Blade,Black Flame Blade,Black Flame Blade,Black Flame Blade,Black Flame Blade,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Flame's Protection,Black Flame's Protection,Black Flame's Protection,Black Flame's Protection,Black Flame's Protection,Black Flame's Protection,Black Flame's Protection,Black Flame's Protection,Black Flame's Protection,Black Flame's Protection,Black Flame's Protection,Black Flame's Protection,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noble Presence,Noble Presence,Noble Presence,Noble Presence,Noble Presence,Noble Presence,Noble Presence,Noble Presence,Noble Presence,Noble Presence,Noble Presence,Noble Presence,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noble Presence,Noble Presence,Noble Presence,Noble Presence,Noble Presence,Noble Presence,Noble Presence,Noble Presence,Noble Presence,Noble Presence,Noble Presence,Noble Presence,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beast Claw,Beast Claw,Beast Claw,Beast Claw,Beast Claw,Beast Claw,Beast Claw,Beast Claw,Beast Claw,Beast Claw,Beast Claw,Beast Claw,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beast Claw,Beast Claw,Beast Claw,Beast Claw,Beast Claw,Beast Claw,Beast Claw,Beast Claw,Beast Claw,Beast Claw,Beast Claw,Beast Claw,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gurranq's Beast Claw,Gurranq's Beast Claw,Gurranq's Beast Claw,Gurranq's Beast Claw,Gurranq's Beast Claw,Gurranq's Beast Claw,Gurranq's Beast Claw,Gurranq's Beast Claw,Gurranq's Beast Claw,Gurranq's Beast Claw,Gurranq's Beast Claw,Gurranq's Beast Claw,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bestial Sling,Bestial Sling,Bestial Sling,Bestial Sling,Bestial Sling,Bestial Sling,Bestial Sling,Bestial Sling,Bestial Sling,Bestial Sling,Bestial Sling,Bestial Sling,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stone of Gurranq,Stone of Gurranq,Stone of Gurranq,Stone of Gurranq,Stone of Gurranq,Stone of Gurranq,Stone of Gurranq,Stone of Gurranq,Stone of Gurranq,Stone of Gurranq,Stone of Gurranq,Stone of Gurranq,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bestial Constitution,Bestial Constitution,Bestial Constitution,Bestial Constitution,Bestial Constitution,Bestial Constitution,Bestial Constitution,Bestial Constitution,Bestial Constitution,Bestial Constitution,Bestial Constitution,Bestial Constitution,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bestial Vitality,Bestial Vitality,Bestial Vitality,Bestial Vitality,Bestial Vitality,Bestial Vitality,Bestial Vitality,Bestial Vitality,Bestial Vitality,Bestial Vitality,Bestial Vitality,Bestial Vitality,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,Roar of Rugalea,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swarm of Flies,Swarm of Flies,Swarm of Flies,Swarm of Flies,Swarm of Flies,Swarm of Flies,Swarm of Flies,Swarm of Flies,Swarm of Flies,Swarm of Flies,Swarm of Flies,Swarm of Flies,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swarm of Flies,Swarm of Flies,Swarm of Flies,Swarm of Flies,Swarm of Flies,Swarm of Flies,Swarm of Flies,Swarm of Flies,Swarm of Flies,Swarm of Flies,Swarm of Flies,Swarm of Flies,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bloodflame Talons,Bloodflame Talons,Bloodflame Talons,Bloodflame Talons,Bloodflame Talons,Bloodflame Talons,Bloodflame Talons,Bloodflame Talons,Bloodflame Talons,Bloodflame Talons,Bloodflame Talons,Bloodflame Talons,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,Furious Blade of Ansbach,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bloodboon,Bloodboon,Bloodboon,Bloodboon,Bloodboon,Bloodboon,Bloodboon,Bloodboon,Bloodboon,Bloodboon,Bloodboon,Bloodboon,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bloodboon,Bloodboon,Bloodboon,Bloodboon,Bloodboon,Bloodboon,Bloodboon,Bloodboon,Bloodboon,Bloodboon,Bloodboon,Bloodboon,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bloodflame Blade,Bloodflame Blade,Bloodflame Blade,Bloodflame Blade,Bloodflame Blade,Bloodflame Blade,Bloodflame Blade,Bloodflame Blade,Bloodflame Blade,Bloodflame Blade,Bloodflame Blade,Bloodflame Blade,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poison Mist,Poison Mist,Poison Mist,Poison Mist,Poison Mist,Poison Mist,Poison Mist,Poison Mist,Poison Mist,Poison Mist,Poison Mist,Poison Mist,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poison Armament,Poison Armament,Poison Armament,Poison Armament,Poison Armament,Poison Armament,Poison Armament,Poison Armament,Poison Armament,Poison Armament,Poison Armament,Poison Armament,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pest Threads,Pest Threads,Pest Threads,Pest Threads,Pest Threads,Pest Threads,Pest Threads,Pest Threads,Pest Threads,Pest Threads,Pest Threads,Pest Threads,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pest-Thread Spears,Pest-Thread Spears,Pest-Thread Spears,Pest-Thread Spears,Pest-Thread Spears,Pest-Thread Spears,Pest-Thread Spears,Pest-Thread Spears,Pest-Thread Spears,Pest-Thread Spears,Pest-Thread Spears,Pest-Thread Spears,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pest-Thread Spears,Pest-Thread Spears,Pest-Thread Spears,Pest-Thread Spears,Pest-Thread Spears,Pest-Thread Spears,Pest-Thread Spears,Pest-Thread Spears,Pest-Thread Spears,Pest-Thread Spears,Pest-Thread Spears,Pest-Thread Spears,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scarlet Aeonia,Scarlet Aeonia,Scarlet Aeonia,Scarlet Aeonia,Scarlet Aeonia,Scarlet Aeonia,Scarlet Aeonia,Scarlet Aeonia,Scarlet Aeonia,Scarlet Aeonia,Scarlet Aeonia,Scarlet Aeonia,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scarlet Aeonia,Scarlet Aeonia,Scarlet Aeonia,Scarlet Aeonia,Scarlet Aeonia,Scarlet Aeonia,Scarlet Aeonia,Scarlet Aeonia,Scarlet Aeonia,Scarlet Aeonia,Scarlet Aeonia,Scarlet Aeonia,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scarlet Aeonia,Scarlet Aeonia,Scarlet Aeonia,Scarlet Aeonia,Scarlet Aeonia,Scarlet Aeonia,Scarlet Aeonia,Scarlet Aeonia,Scarlet Aeonia,Scarlet Aeonia,Scarlet Aeonia,Scarlet Aeonia,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rotten Butterflies,Rotten Butterflies,Rotten Butterflies,Rotten Butterflies,Rotten Butterflies,Rotten Butterflies,Rotten Butterflies,Rotten Butterflies,Rotten Butterflies,Rotten Butterflies,Rotten Butterflies,Rotten Butterflies,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rotten Butterflies,Rotten Butterflies,Rotten Butterflies,Rotten Butterflies,Rotten Butterflies,Rotten Butterflies,Rotten Butterflies,Rotten Butterflies,Rotten Butterflies,Rotten Butterflies,Rotten Butterflies,Rotten Butterflies,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rotten Butterflies,Rotten Butterflies,Rotten Butterflies,Rotten Butterflies,Rotten Butterflies,Rotten Butterflies,Rotten Butterflies,Rotten Butterflies,Rotten Butterflies,Rotten Butterflies,Rotten Butterflies,Rotten Butterflies,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,,,,
